Pathway	A57RS1T1	A57RS1T2C	A57RS1T2	A57RS2T1	A57RS2T2C	A57RS2T2	A57RS3T1	A57RS3T2C	A57RS3T2	HF12RS1T1	HF12RS1T2C	HF12RS1T2	HF12RS2T1	HF12RS2T2C	HF12RS2T2	HF12RS3T1	HF12RS3T2C	HF12RS3T2	HG64RS1T1	HG64RS1T2C	HG64RS1T2	HG64RS2T1	HG64RS2T2C	HG64RS2T2	HG64RS3T1	HG64RS3T2C	HG64RS3T2	HG70RS1T1	HG70RS1T2C	HG70RS1T2	HG70RS2T1	HG70RS2T2C	HG70RS2T2	HG70RS3T1	HG70RS3T2C	HG70RS3T2
ko00460: Cyanoamino acid metabolism	608.1314720418	665.8192145221	1456.1456321565	729.3927825510	714.1020640848	0	504.5453214801	0	1233.4190262124	666.1672600122	408.6656045883	0	530.9898125620	423.2735007577	1454.7585886215	507.8745548495	408.3578556125	2018.6160079042	662.1286183046	470.4986387228	1079.1901342368	493.2719767536	0	1264.3078161168	1195.9312317086	568.5637133800	0	540.1749481446	586.6480572767	892.2444860527	350.7447135996	629.1451712210	998.7485548486	431.3573904958	532.8951550572	1206.8768127191
ko00471: D-Glutamine and D-glutamate metabolism	1166.5139984528	1413.3937541493	3244.8233087329	1320.4414690274	1476.6010518582	3068.5885504588	1035.7165968841	1115.6847849591	2627.0755925549	1212.3950902642	897.2701443273	3290.7491131838	964.5983907080	817.4818401924	3322.5144658810	1003.5194098950	834.3759114808	4658.6753862869	1304.5354482756	973.9385894822	2335.2244095796	1032.9459397686	1032.0394004563	2627.4597430620	2287.0433968719	1171.7303639806	1504.9233446073	1074.7432431032	1224.4593310127	1857.8570987129	696.9959702543	1255.8885518502	2151.2803424711	862.9641539290	1088.5063690396	2595.6990143033
ko00472: D-Arginine and D-ornithine metabolism	144.1591996083	177.2643661904	2733.3595457492	212.9574297678	243.4238112338	2250.4504810052	172.6417669146	137.2658583814	2076.8924920975	161.6781339530	87.4149644097	2778.0390109844	164.2187698166	85.0833798353	2840.1437128606	130.3710001823	126.8262050871	4246.7922995507	141.0536005522	127.0070144868	1794.7032282681	121.6181568458	116.3523387763	1850.0351510424	490.2838478518	148.7444575638	1055.4300150174	140.1397184387	161.3216395679	1354.4195661508	63.7284167756	412.8370690000	1630.2076337573	142.2114256083	139.2900898123	2177.0874214765
ko00473: D-Alanine metabolism	669.2665005616	787.2287213032	3066.8640208681	785.8254573471	899.0069082997	2805.6348291385	566.0241583958	609.4029456240	2480.7506293906	845.3545452007	484.1610400399	3043.7831661921	528.5260736031	403.0288404517	3094.4658503738	561.9804689133	489.3121065304	4547.3940771490	779.4243458760	536.1862633781	2083.2018719203	595.3593678206	523.0603063703	2317.1389679844	1399.7474587737	674.4500551526	1312.3480475229	613.0379613627	597.4943865143	1608.4539666820	378.4125729194	858.9729774336	1894.4936964988	481.7956711569	586.7525485844	2426.2740794937
ko00480: Glutathione metabolism	1292.5487786209	1451.7086947414	4276.3658018116	1550.4437936839	1563.9460611821	3978.7986376245	1093.1696338173	1185.8700929789	3505.6794625939	1384.9080608593	921.3847644249	4278.8800515949	1083.7237890452	876.1017974255	4283.0685247518	1083.3091962870	900.2611766189	6157.5967691849	1435.7347477743	1030.0215813842	3037.7268262436	1067.7268894383	1060.1010458577	3468.3362924698	2279.7014718408	1225.9125496928	1954.1035937339	1140.4153800251	1243.3465832852	2384.1191549241	736.0645940006	1485.8728014247	2833.8702656793	891.5379212924	1088.5007871626	3404.8758623024
ko00500: Starch and sucrose metabolism	410.4870314727	460.9512458160	1473.6657933166	466.0682637304	504.8621338697	1357.1179237241	361.6243223747	401.3743197741	1197.5599243726	415.6160023850	286.7793387975	1439.3545824672	349.1359321212	285.2551195535	1450.1091639512	337.4679657449	270.5964822316	2087.2918665085	404.8835530973	317.8533923963	1016.0848415474	321.2463864253	326.0052634986	1129.5252946049	827.1078891775	381.5418557627	628.9269907252	358.6716112097	411.8106044606	842.1002174968	243.6602210104	498.4805774738	955.8000912827	289.9029824824	370.3230669613	1160.8894120599
ko00510: N-Glycan biosynthesis	19.4925640415	17.6300599653	12.1994409535	17.9561087801	23.7232856810	22.7494213855	19.2341610466	20.4554331085	16.4881904420	21.6530761946	13.4893427285	15.0715258442	25.1416073059	13.1299003507	16.1081463183	19.0755249679	13.3163888166	17.6541031074	19.5990472327	19.3643377501	15.4795581496	16.6727002183	20.2570623309	19.1540588815	48.8460369580	18.2001961679	15.9306921410	16.7224379838	19.2205165820	15.5564553080	13.9285016783	18.5608686012	14.0154780933	14.3083336712	18.1983448554	13.8807653278
ko00511: Other glycan degradation	78.6428690998	100.7137373224	73.5530033354	119.4176405619	115.1497967621	118.6236934724	98.7491340231	119.8909144694	70.3675689235	164.8752914560	70.7564376048	51.8831542660	98.7696695597	70.1694104411	59.7567916281	81.2359373148	65.5003535730	71.2492658379	79.0041255008	71.5004313472	57.3833343034	72.3905284388	78.4873483637	97.2307033954	204.0485043969	87.2512239146	56.0089094689	93.3979951530	126.4046191727	103.4497075133	54.0008189784	123.6990576786	70.8618158135	90.9829157352	116.8416476428	70.0957106560
ko00512: Mucin type O-Glycan biosynthesis	0	0	0	0	0	2.3753448715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4859734202	0	0	0	0	0.2829381159	0	0	0	0	0	0
ko00513: Various types of N-glycan biosynthesis	0.8892852903	0	0.0273502662	0.5048170361	1.1254430656	0	0.8292205845	0.9121439361	0.7759849143	0	0	0	0	0	0	0.6983301511	0.5647672058	0	0	0	0	0	0	0	0	0.8129314142	0	0	0.9045383800	0.6289988762	0	0	0	0	0.2877282934	0.4912306605
ko00514: Other types of O-glycan biosynthesis	0.5069974898	0	0	0.5984810156	0	0.2747998551	0.4872732961	0.3396184314	0	0.1329666267	0	0	0.4098507775	0.6374186365	0	0	0	0	0	0	0	0	0	0	1.4347617797	0.3440329345	0	0.1869026914	0	0	0	0	0	0	0	0
ko00520: Amino sugar and nucleotide sugar metabolism	645.3594643027	707.8994579270	1471.1773873211	758.9104999599	766.1476394161	1474.3161976537	541.5690651737	611.1226458365	1243.2069357981	652.0386130041	474.7686698703	1445.6964827080	536.8758377670	454.6262045056	1462.5697756662	540.0645778820	456.3686213955	2037.0669125392	660.9573147026	511.0800333717	1089.7285256813	521.0734611596	527.0439968093	1274.3588746696	1147.5984693645	602.2912468108	759.3292967766	563.6851493801	646.5576372214	907.9051476144	382.9399841687	675.0052593885	1035.2602412905	461.5873669902	576.4058653242	1202.3348981354
ko00521: Streptomycin biosynthesis	1379.6515799667	1451.0312292892	2886.8961695397	1531.1941619182	1570.2086315126	2919.1626049023	1151.5657352026	1300.3366389009	2469.1674766575	1328.9378056660	1076.1247001299	2916.1732389657	1233.3615655895	1037.0988337439	2925.0703053571	1229.5254803631	993.1685867761	3993.0412285025	1367.1806238587	1139.3979940636	2248.9249320377	1163.3298592256	1155.4959029026	2546.4403241151	2195.8055351306	1287.2665980543	1540.7037227652	1235.0507213965	1354.6263333038	1815.0841784237	845.3956911272	1364.2441970955	2123.1010614148	989.3041932057	1277.3004375837	2414.4874505515
ko00522: Biosynthesis of 12-, 14- and 16-membered macrolides	3.0946630779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6172857743	1.8689956150	0	0	0	0	0
ko00523: Polyketide sugar unit biosynthesis	475.2450152506	477.4468617961	945.7434714784	544.7201622824	500.3441875401	958.9584251213	384.5772186592	437.3606088023	797.1022026949	475.3347309500	390.7747195180	978.2312108192	436.9042867161	378.7651311179	954.8230240063	443.8034373556	353.1793847156	1302.3913033155	462.4251438571	402.4950906817	771.1101825154	408.8533245094	393.3389225245	848.6507759594	602.5295402161	449.3909533435	532.3860719989	416.9130768213	457.6040746160	599.8341187750	300.6453550819	431.6887047397	713.1254048422	331.0549202020	421.1056214168	805.5492803013
ko00531: Glycosaminoglycan degradation	0	0	0	0	20.4162678680	0	0	0	0	0	0	0	0	0	8.6318054118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00532: Glycosaminoglycan biosynthesis - chondroitin sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6010487966	0	0	0	0	0	0	0	0	0	0	0
ko00534: Glycosaminoglycan biosynthesis - heparan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5867334150	0	0	0	0	0	0	0	0	0	0	0
ko00540: Lipopolysaccharide biosynthesis	486.1111773273	575.0460615310	2686.3441240469	548.0131765778	578.4744348570	2340.8621581206	367.3954585612	446.8315040982	2101.3225273256	721.4172436014	322.0552728409	2654.7557107161	418.3002661993	319.1590252036	2684.2841854140	435.6730510150	348.7610912463	3898.1685996216	647.1065890280	379.9163122533	1792.9988316935	467.8398939094	377.8475512839	1971.3389862208	704.8331891067	498.9065171958	1085.8961371233	424.9969632050	444.6644454104	1309.5252291775	273.3037846740	577.3858187242	1614.9592866635	311.0268342337	401.7700878967	2040.7892432129
ko00550: Peptidoglycan biosynthesis	909.4558546276	1103.3973485955	2397.0138860745	1051.7807079583	1211.4552089500	2391.9705990199	773.7242693230	862.0113094968	1988.4892482571	1009.1928447679	625.0579111419	2339.5266893030	707.3185194032	587.7543664619	2366.2769289482	747.1252660327	638.7994938386	3391.5106657124	1067.6417388838	713.7113474146	1712.1109872423	782.0778584167	767.0699335454	2063.7177716364	1819.0778345246	889.6972948999	1157.1155024477	812.8876237958	883.5785975590	1394.5898153750	500.7820804752	1018.7931781211	1609.7169436385	626.9780533765	801.7052771210	1930.6521089280
ko00561: Glycerolipid metabolism	357.0447495802	390.9933947894	1093.0239718907	428.7638812313	423.9306922664	1040.2287374758	268.3186733099	333.1275034035	894.2923327598	375.7525925371	225.1673127741	1071.6824506067	294.4706809636	228.1521065709	1082.8034736076	276.5007591405	212.1934049772	1558.3816102742	378.9856689290	262.3035907492	772.4778615948	281.7684932047	287.9907329955	891.7722192844	784.2166095794	312.0258081268	496.7469243366	293.8523949625	323.8529804969	622.4486629129	195.5806746101	395.6594612861	710.8584122507	238.1949794389	300.5268409433	862.3787981582
ko00562: Inositol phosphate metabolism	384.3933212472	429.2100437212	1471.3727925430	430.8325649169	493.3661692917	1344.7582144242	327.1351120100	381.5181597738	1202.6301476427	337.9859053122	271.7292552813	1456.9065766460	322.2871159694	253.9495300672	1475.5991558217	310.6653110920	265.3923264428	2142.1234347924	368.3661500654	292.5295537535	1030.9736617097	310.3627741570	318.3792989957	1134.5620173130	806.6319044574	346.4206174350	639.1055920377	343.3271586165	379.6243767697	798.9881648488	219.0282744306	474.9577958627	954.1979472501	277.6396970927	348.1909334100	1161.9005315490
ko00563: Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2039789563	0	0	0	0	0	0	0	0	0	0	1.3505517722	0	0	0	0	0	0	0	0	0	0	0
ko00564: Glycerophospholipid metabolism	326.7738908743	380.1185127545	1320.9001484618	377.6321390747	416.3131492686	1201.1440909711	251.2188345734	305.2534069529	1056.9796230056	394.8443865826	208.1729116608	1280.8058845468	263.0913016722	201.5119299164	1307.9132866777	256.8465726290	210.7092094822	1900.8076919655	379.6192903979	240.9928531033	899.7534082612	273.5315605228	254.1017948937	1034.0207188694	664.7668324602	306.1641012385	560.5001536151	282.9120007778	295.6997013948	701.1219748010	176.6439399091	406.4256451554	814.8313029632	214.2617783288	277.8905374059	1005.9869209838
ko00565: Ether lipid metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.4232914491	0	0	0	0	0	0	0	0	0	0	235.6803653216
ko00590: Arachidonic acid metabolism	0	140.1974844272	0	165.8794292365	0	766.3574551635	104.8912076240	0	0	0	0	0	0	0	0	0	0	0	197.9681817434	0	0	0	0	0	319.6504853497	0	0	0	0	0	0	211.9689953972	0	0	0	0
ko00591: Linoleic acid metabolism	266.4759158873	332.9639903680	1844.1069900403	327.9194013621	367.0440212864	1487.3804481842	282.8083878880	288.3735082205	1472.2036714289	320.1749111805	218.7477946588	1858.5937718903	317.9434383564	218.4873736476	1848.0961029653	258.3447306252	199.1751663198	2632.6544409323	289.9310251951	246.8033040983	1220.5102023233	250.3419155709	253.8236433533	1331.7259865588	689.8109214989	246.7006599772	705.0308520483	284.9100838484	315.0549405404	942.0006533687	196.7916177611	477.3260348032	1131.7830174027	239.9928397507	292.2364048407	1377.1190742000
ko00592: alpha-Linolenic acid metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606.4537606936	0	0	0	0	0	0	0	0	0	0	0
ko00600: Sphingolipid metabolism	69.1358643864	67.9358061331	55.2575189847	97.2344828587	76.0469004572	85.2628623557	77.8210560626	79.5529783884	61.0125887873	90.0102072374	57.2658095569	45.6379283189	81.5932736693	65.0160335643	48.9232154116	68.9432080547	48.1555737774	55.9091174322	74.7051664900	66.2086102326	51.3084825973	63.8527352148	65.7902262729	70.6040639203	159.9803195050	63.7046387386	50.1593602937	68.0286742295	82.9033784758	58.6419134672	46.7694460868	70.1198047424	54.8010896666	60.6728193203	72.2952657182	51.4431309950
ko00620: Pyruvate metabolism	2067.1609038384	2218.0257102707	4141.8357766515	2448.5273844921	2396.3333837088	4196.3827185815	1660.6847888544	1883.2556749640	3557.8226113130	1914.5834307857	1518.8978757410	4227.4333449276	1752.1046745704	1465.9369974451	4237.0556269234	1743.7678302370	1458.0786189605	5792.9155123965	2040.3649196204	1680.1737261699	3209.9677030867	1681.4239947408	1730.2220445951	3750.0258554251	3527.1669193435	1889.0306440037	2264.9615084854	1810.9717226177	2000.3233672033	2609.4780238819	1239.5774415546	1991.1066680723	3025.8377181534	1462.5229525574	1783.0124967851	3468.4708851064
ko00621: Dioxin degradation	377.3068408635	445.9663655811	3451.5633820640	529.4821092990	501.5576988929	2847.6105473820	256.7493666231	369.1017878009	2682.1629274346	377.9449638601	219.2505173436	3533.0752812069	244.0673757517	195.3483274356	3680.1350303372	240.1689127005	251.7014651308	5283.9332970474	296.6363885884	271.1905724422	2347.0953418024	212.3970607801	303.5924379272	2390.4935031393	415.4255900287	353.0851195120	1213.1247677239	322.2093069796	375.5080845452	1702.4143394682	194.7977946133	704.9658306686	2060.7516386679	250.4412743223	320.1242385815	2660.4540060543
ko00622: Xylene degradation	221.4800605180	259.5658744245	1312.2310230720	248.7902557831	304.4263072778	1076.4560626005	174.7147260996	205.2717945713	1041.9250354675	179.0420926196	136.8089875161	1329.2157940241	145.7832155786	113.1300231471	1302.4209298567	143.6611142798	144.7870330682	1918.2060088983	172.2369832578	152.0673177240	897.0323939439	126.7449832342	165.2341069245	938.2048206436	288.9009226714	196.0488229806	476.5194933537	199.6015458170	211.9117007180	693.3414716664	119.9478886735	330.4819122687	781.6675097736	152.9664053514	190.9026759853	1004.8546615737
ko00623: Toluene degradation	960.7982201009	1029.9163643769	2074.2624408707	1063.3965923181	1108.3577480369	2111.8226635605	823.5741510168	919.6025867024	1744.0086852646	870.8805103496	729.8684786969	2066.0120075938	839.0845191195	739.1985368429	2091.5287175494	858.0851052005	685.9498816225	2804.8157673616	960.3428740059	787.9268233778	1564.0803816758	781.5733027826	789.0909313898	1796.6783680636	1697.6861458027	873.7649907294	1118.6308453970	845.6674642612	941.6169280786	1293.1140354122	566.4860407575	938.4332009039	1500.3082052473	688.6403161046	848.7389848190	1664.1090393862
ko00624: Polycyclic aromatic hydrocarbon degradation	196.3997180928	268.0317155243	1459.0659870378	241.3797235467	273.6320466961	1225.9689133511	174.9521783288	225.7634112853	1156.4503341403	257.2606240640	160.7478912087	1422.7573960031	202.9969096063	152.2704578951	1469.3847833076	190.4179655408	147.0684200272	2151.5588126838	225.5313924335	184.0061050082	1009.9591744484	179.7226441685	186.8293079985	1092.0709784458	498.8301984572	211.0842964663	578.2658619294	209.5408013331	222.2074748384	730.5776474250	139.9082957166	328.2565878573	0	163.8803471857	208.8953485341	1109.7261943642
ko00625: Chloroalkane and chloroalkene degradation	1069.4152284237	1224.6659196308	3759.4045804103	1313.4353788147	1338.7695216970	3454.1800368012	877.9061496904	1031.9058333274	3086.9457531524	1001.6329196408	731.9467276013	3740.5487388371	986.2125184200	758.5323703431	3732.3578970181	905.7222399994	705.1978400664	5359.1702581926	1121.8052066841	894.8431475961	2651.8703011271	888.0552027768	949.1711049700	3006.6728646660	2172.4571769971	945.2954741978	1659.6277035913	973.7921237556	1050.5795739252	2099.0319395867	662.8600968932	1264.1986632067	2466.1056010346	778.1990523943	960.1357203471	2920.0791814109
ko00626: Naphthalene degradation	845.1760989667	933.5828429826	3453.3159729018	1035.1017186613	1034.2420414601	3086.5928283913	0	806.0972434721	2787.1241408425	0	573.7518063332	3433.9653003505	760.2068511220	0	3460.4266970686	695.5309132321	586.9930186256	4994.9341136841	858.3534466675	689.2347884632	2424.8560318515	686.0870711613	739.4274092762	2688.2866555411	1611.7720799087	751.1431859394	1507.5235787232	782.4621252033	0	1891.0849829003	505.7917300981	1051.3352873944	2199.6013042016	0	773.3302091329	0
ko00627: Aminobenzoate degradation	449.5847332420	557.4172952831	3259.1191034119	532.6790958132	593.9986859515	2777.1712126217	413.0724578924	511.5660534887	2565.9847121961	559.1640929840	373.7927776626	3251.2824602891	465.9106416004	351.3783104737	3296.1816593495	459.3845603150	359.9315971400	4824.2510131112	578.9216795421	444.4514849968	2244.6200659943	424.7779502757	434.8219653926	2401.4363680260	989.7665127270	476.9751247607	1319.3128719847	484.3215123553	509.0231958386	1650.0834550507	314.4817954571	767.8058076354	1981.7753808222	384.3361393627	485.2160039134	2512.6331669304
ko00630: Glyoxylate and dicarboxylate metabolism	1734.7086291697	1865.3343280411	3800.4200183010	2077.0072768256	2033.9886582580	3792.7645863861	1423.8103512894	1641.6770454999	3239.8891149596	1640.7175942854	1310.6689008288	3846.0320150157	1513.7665284096	1277.1479133574	3878.5735066063	1508.4593246846	1247.5571628421	5297.1169523436	1756.1124895824	1467.6442768166	2910.6381639636	1448.8887958953	1480.0845887043	3390.9976737479	2955.2977059427	1614.8796429569	2049.0406159114	1571.4926582990	1721.4308821017	2361.6275774991	1057.2640541215	1737.4426532104	2728.8283294360	1264.6557326531	1537.0331441229	3157.2119191548
ko00633: Nitrotoluene degradation	320.3652996974	322.4579002300	891.7647900845	337.4303100374	321.1761097743	811.4316006694	293.4313143739	296.3265829197	772.3667026030	303.8378112790	221.0500207361	919.8938615447	337.7409478691	290.3671231959	913.2419370390	297.9585673391	199.2311473359	1292.8465273604	325.3374039149	304.9083960425	724.7361649263	276.5138624097	287.5495114653	717.1124333946	468.8456631946	303.2524810817	459.6725734673	301.5398157961	337.7077636183	564.9163260283	244.1912390542	318.7460667665	653.3016099335	244.1284882539	320.2934728091	734.7256437081
ko00640: Propanoate metabolism	2333.9701983948	2477.3199803617	4612.1298885243	2730.0770691867	2671.0342579968	4683.5354527837	1927.3449036807	2194.2046181326	3983.2811341462	2136.8207103631	1745.8881019302	4711.4015312099	2072.9625768481	1727.0821295639	4741.7884042409	2068.2291876028	1665.5316555463	6412.6089874563	2394.4754778213	1972.1016513610	3652.8072978179	1952.2856589316	2008.6146781618	4236.2510505286	3902.8543127243	2155.5821615697	2621.7889737953	2094.8565469250	2303.0555723056	2940.8992169472	1444.2060510551	2249.5542165266	3436.8309578708	1708.6298201438	2090.7272628743	3828.3421930039
ko00642: Ethylbenzene degradation	540.1251056851	613.7368076107	5045.2204450688	626.2685103175	661.0023420864	4188.6940520768	0	0	3910.1889582030	0	405.4445832186	5155.6851046613	0	0	5100.1870727935	0	0	7587.7396238323	0	432.8741633535	3405.1085033886	0	0	3524.1014998941	897.4378013714	523.2753897929	1891.0673922363	506.6231288050	0	2507.8563077578	327.0486172193	1000.8390756376	2977.4323405566	0	497.0196383331	3909.2965127098
ko00643: Styrene degradation	482.3313384426	546.6312452973	1524.9045331182	535.5119960148	594.5463599015	1434.5328195564	431.0427751581	494.6744048843	1253.6338668998	513.3763378429	336.8313758644	1488.6450464123	478.2514882146	359.4551415614	1483.5834923804	416.9598269855	321.4737584931	2159.8019901243	478.7358868287	409.2741322206	1072.5285117516	423.6474404851	408.1859221886	1214.2765112431	900.6750379409	457.6815370615	718.7566504880	480.4409054262	478.6291550030	863.4021966755	314.2611674441	527.4267206903	1015.7149102228	367.7310313028	450.7585008021	1206.9801643798
ko00650: Butanoate metabolism	1966.9098235236	2165.3051258930	4501.0718190075	2344.1246277487	2352.7719707997	4435.8835864211	1634.5693103999	1889.8652939954	3845.2916241158	1832.7241226792	1461.4983149431	4534.1571599518	1723.5820048103	1442.3767954062	4599.2482394867	1724.0677058173	1429.0857166255	6291.7762226335	2049.4868990053	1658.9574697412	3420.4943542299	1637.5795101833	1697.3025131638	3979.7842687794	3603.8007360628	1817.8196228914	2397.4695267019	1782.0229549063	1977.1080139738	2763.0805315589	1209.2812056627	2065.5460612980	3226.3193365303	1453.4186973628	1790.8053832815	3681.1925112695
ko00660: C5-Branched dibasic acid metabolism	4013.0773984170	3979.2445040211	4825.9179596001	4550.8155882604	4293.7390068047	5467.4935066657	3090.1171738873	3363.4161161850	4407.9148331990	3369.9307284157	2787.4554428954	4851.1444496423	3047.6804860466	2770.7349748498	4937.4928826292	3187.3895753985	2644.7308781896	6276.0068048169	3613.9579798667	2992.8123730583	4103.9066357105	2918.7633362824	3106.1198515736	5034.8007230336	6154.3136610889	3440.6776230614	3253.8808617485	3260.8094448591	3717.6202910152	3543.0979663478	2279.3550828418	3322.6139012883	4018.6232368706	2650.7261608206	3153.7397513681	4288.7396621268
ko00670: One carbon pool by folate	1696.5057768352	1821.5630715226	3584.5821503437	1974.8182016129	1988.6269105618	3636.6040164048	1335.3187567881	1458.5491760606	3015.2475288256	1734.7097617714	1202.0363097540	3571.4019376022	1342.9750739384	1147.2162356207	3583.4361005472	1367.5447764873	1186.3208689026	5003.4565717935	1701.5212942010	1277.8138613189	2720.7635935979	1330.2490968260	1379.8175315175	3231.2474397036	2888.6339462935	1586.3406611705	1880.8500943004	1450.6806874116	1563.3669045741	2207.4755554300	941.0023972634	1658.1777650553	2554.4482572829	1129.7865310892	1382.3076620955	2997.2066647081
ko00680: Methane metabolism	611.9933543506	630.6318951893	1194.2009812116	685.9379065878	663.1486856415	1206.2702199066	493.3627314653	537.8426972014	1014.3743429842	579.6221947323	434.6640581973	1198.1693491141	509.9952860924	435.3470389173	1198.1019762936	509.9278603617	405.4081544492	1636.0313452554	596.8878681254	484.2243544381	918.8328818491	484.6205411820	491.6988734381	1085.1427174871	1037.6018609878	552.7822166732	654.6155505680	521.2659385733	570.3403243554	756.2814946331	359.7373259702	557.7893685774	871.6982237706	408.8028649384	505.1028851688	993.8983464773
ko00710: Carbon fixation in photosynthetic organisms	1711.1922898733	1872.2076763465	3222.6672452936	2031.8676600628	2044.9004484795	3389.9167396766	1420.2760513128	1547.5065254843	2756.3128151650	1626.8901328647	1271.1268902373	3244.9671247880	1419.1980666350	1201.0298934872	3308.2464461361	1439.2907449181	1236.7641771235	4449.2434897933	1756.3472373123	1383.7613042861	2488.2367596223	1399.4258066702	1441.7440364793	3006.7343480186	2991.3761804176	1596.3287164932	1796.6759304130	1497.4573961516	1679.3211820431	2067.8879331019	1009.3980803161	1658.1765903921	2399.9709833742	1215.7939928133	1497.0153881080	2746.7359859091
ko00720: Carbon fixation pathways in prokaryotes	2685.8182650465	2755.7907048136	3816.1143694136	3090.9086321176	2968.0567970973	4214.2398326250	2204.4999151503	2436.3680144483	3446.8112438440	2320.7957790516	2036.4968207872	3977.7347311799	2323.9954007919	1998.8692832003	3952.5851054241	2334.2344284534	1905.0147337758	5089.7295561910	2582.9024388304	2214.7462665897	3235.6441064296	2152.7435739450	2264.3671800064	3821.1078428834	4084.1331149786	2439.9048785942	2494.2120870542	2337.0357050823	2606.0428185583	2708.5429914629	1636.5287738120	2398.3002117319	3131.2575945470	1925.3380022029	2342.3516855114	3350.0051785586
ko00730: Thiamine metabolism	1173.5632653032	1266.2131842051	2466.7542958257	1334.7359105472	1338.4848195013	2493.0249603911	960.2827072102	1043.4044165785	2065.8533169902	1213.1668383838	835.8827149371	2477.1149220499	977.5912367553	808.1556669155	2431.7580415764	986.3198612519	809.6733339662	3388.7427365957	1188.3130617505	951.4192722640	1844.8283910579	990.1748615517	961.0758221152	2174.6947712778	1931.2905562373	1093.7596972839	1319.5821515597	1038.4729184015	1159.2013055429	1523.1805803119	689.3961687411	1159.3046607361	1752.3943229346	795.1534593682	999.2810503146	2009.7263253573
ko00740: Riboflavin metabolism	511.6554362928	596.0748631215	2020.1954534656	579.0037697287	664.8020807329	1821.2404704115	415.1110640883	475.7783593120	1614.1728191932	692.6594631527	338.7325612318	1976.4228491227	433.2563715686	330.8292424077	1979.1364436547	448.1132202472	365.3488327057	2912.2215952987	668.8595537921	384.0222668127	1386.2624853406	448.2756658760	427.1038977766	1616.9996506581	1139.2382297400	521.8448571967	870.4410295585	460.4164845869	462.5072068467	1069.5515643991	291.0406030851	653.6908017798	1264.2224280362	336.6320986195	432.9862230461	1588.5833631566
ko00750: Vitamin B6 metabolism	1133.2291420191	1206.6256416626	2602.6574492104	1268.5102160114	1268.4173859093	2538.1835556265	901.0466362071	996.9409093044	2215.8674502523	1148.3483660265	801.3859180746	2599.2234488806	947.9117573119	772.4031180758	2552.2126990852	919.5155940624	764.1825180185	3671.4842522192	1171.1664757567	868.7753814954	1911.6541658365	903.5562752865	935.1356990335	2249.4487792274	2185.7858403951	1018.1169651626	1324.7198545053	1014.3699575137	1077.3599761986	1579.7100925183	618.7061555613	1155.7799895420	1780.7938385430	742.5948278743	955.2523576497	2106.1733836204
ko00760: Nicotinate and nicotinamide metabolism	1332.6304129532	1418.9955804788	3363.6594552318	1530.0032486018	1529.7801449687	3252.3618921944	1057.0538073954	1213.7451811702	2838.9517364221	1280.2791376716	920.7031978107	3444.1890248168	1086.1037825132	876.4925983049	3443.5987792300	1076.8359791024	905.9296776035	4866.5503095101	1357.9670406293	1060.2028107705	2491.1123891087	1080.3770419904	1115.3693401926	2856.2764163510	2330.2842580031	1206.2929098846	1643.4859880992	1141.9756278455	1235.3849716855	2033.2793721170	735.2043720962	1397.8083281605	2363.5947933692	896.3589781549	1115.7115319580	2765.0121520035
ko00770: Pantothenate and CoA biosynthesis	1989.8119770939	2132.3076442290	4257.7417751757	2308.3195846437	2297.2735443849	4284.4500905843	1608.5464424520	1788.6235846413	3624.0177847258	1920.2975711633	1391.0541528392	4215.1944666442	1565.2391030810	1394.1686576185	4293.0865125852	1609.8837894644	1365.8570966743	5987.3813286088	2007.9249447694	1524.0539423854	3201.9955805986	1519.2219869884	1565.9340515609	3838.2287000829	3507.2037515790	1796.8000616024	2200.0226516201	1721.2801656611	1906.6909353203	2641.3218885840	1131.3881462716	1963.6102967171	3026.9304012411	1351.3390145789	1656.4916142881	3519.2873567470
ko00780: Biotin metabolism	672.9281820413	811.0207667106	3000.0274219862	777.0374646254	852.2091419999	2573.7952415663	502.3417778522	602.0619715018	2372.9679807590	814.3177811551	436.0929668415	2970.8005804338	486.7495651352	392.3518477271	2938.0039405032	499.5657289532	501.5089859945	4460.6610112664	757.4111849075	501.8352869972	2007.5787927703	548.0862104791	577.2062284971	2276.0981567399	1073.1706544931	671.8573898523	1205.0309240934	596.2804876361	645.8902218213	1618.9377007761	334.1685147436	927.6874972337	1860.3966216610	436.1967730177	622.7582060363	2373.2891302020
